"","species.m","animal","class.m","long.m","mass.m","BMR","noct.m","volant.m","fossorial.m","forage.m","BMR.q"
"149","Macaca_mulatta","Macaca_mulatta","Mammalia",1.71559475858283,1.16707923812798,-0.86817501752773,"diurnal","nonvolant","nonfossorial","semiarboreal","good"
"150","Macroderma_gigas","Macroderma_gigas","Mammalia",0.885431450635394,-0.304482121684519,0.143494827623134,"nocturnal","volant","nonfossorial","terrestrial","good"
"151","Macropus_eugenii","Macropus_eugenii","Mammalia",0.299076022226522,1.08015943081036,-1.0748138995521,"nocturnal","nonvolant","nonfossorial","terrestrial","good"
"152","Macropus_robustus","Macropus_robustus","Mammalia",0.846306517954781,1.64203469906837,-1.53991854654555,"nocturnal","nonvolant","nonfossorial","terrestrial","good"
"153","Macropus_rufus","Macropus_rufus","Mammalia",1.03218334804881,1.86471927148742,-1.61169014370771,"cathemeral","nonvolant","nonfossorial","terrestrial","good"
"154","Macroscelides_proboscideus","Macroscelides_proboscideus","Mammalia",-0.502649113898986,-0.790074017650953,0.604238916206902,"cathemeral","nonvolant","semifossorial","terrestrial","good"
"155","Macrotis_lagotis","Macrotis_lagotis","Mammalia",-0.359511774465375,0.48887775555815,-0.867337509029928,"nocturnal","nonvolant","nonfossorial","terrestrial","good"
"156","Macrotus_californicus","Macrotus_californicus","Mammalia",0.471408656958158,-1.24484920177807,0.518161507398372,"nocturnal","volant","nonfossorial","volant","good"
"157","Madoqua_kirkii","Madoqua_kirkii","Mammalia",0.496844680558842,0.983771008105668,-0.667385002629463,"cathemeral","nonvolant","nonfossorial","terrestrial","good"
"158","Marmosa_robinsoni","Marmosa_robinsoni","Mammalia",-1.3080288662029,-0.55913327843401,0.0412569272421744,"nocturnal","nonvolant","nonfossorial","arboreal","good"
"159","Marmota_monax","Marmota_monax","Mammalia",0.189095016304583,0.901791646352441,-1.238376372063,"diurnal","nonvolant","fossorial","terrestrial","good"
